#RPLIDAR SCAN DATA
#COUNT=276
#Angule	Distance	Quality
342.8906 1886.0 28
344.1563 1868.3 27
345.3750 1864.0 21
346.6094 1855.3 22
347.8906 1844.5 21
349.1406 1841.0 21
350.4375 1832.0 21
351.6875 1828.8 22
352.9063 1820.5 21
354.1563 1819.0 21
355.3750 1818.0 21
356.6406 1816.5 22
357.8906 1815.8 22
