#RPLIDAR SCAN DATA
#COUNT=248
#Angule	Distance	Quality
284.2656 1908.5 28
285.5000 1925.8 27
286.7344 1935.3 22
287.9844 1944.3 22
289.2813 1956.8 26
290.5313 1970.0 28
291.7500 1990.5 28
293.0156 2011.0 28
294.2500 2026.8 28
295.5156 2043.3 27
296.7656 2070.0 20
298.0000 2097.3 28
299.2656 2121.0 29
300.5469 2147.0 25
301.7500 2181.8 23
303.0469 2194.5 23
304.2969 2222.5 20
305.5313 2263.0 20
306.7813 2303.0 19
308.0156 2357.8 22
309.2500 2392.8 24
310.5156 2388.0 22
311.8281 2209.3 18
313.0781 2168.3 23
314.3750 2132.0 17
315.6563 2078.8 24
316.9219 2037.8 25
318.1719 1999.5 25
319.4688 1953.5 21
320.7188 1918.0 26
321.9688 1873.8 25
323.2813 1843.3 21
324.5000 1807.5 20
325.7656 1776.0 27
327.0469 1755.8 29
328.3281 1715.0 23
329.6563 1698.0 24
330.9219 1685.5 24
332.1875 1649.5 21
333.4531 1777.0 29
334.7500 1619.0 23
336.0156 1606.8 23
337.3125 1572.0 28
338.5625 1562.3 24
339.8594 1559.3 29
341.1563 1531.8 24
342.3438 1520.8 26
343.6563 1517.3 29
344.8906 1510.5 29
346.1875 1491.0 27
347.4844 1482.8 26
348.7031 1478.8 28
349.9375 1477.0 28
351.2344 1465.3 27
352.4844 1456.0 27
353.6563 1455.0 26
354.8906 1455.8 28
356.1719 1455.0 26
357.4219 1433.5 26
358.6875 1434.3 27
