#RPLIDAR SCAN DATA
#COUNT=248
#Angule	Distance	Quality
358.8125 1437.5 26
0.0625 1443.3 26
1.3281 1444.0 28
2.5625 1446.5 27
3.7969 1433.8 26
5.0938 1442.8 27
6.3125 1447.3 25
7.5938 1455.8 27
8.8594 1444.3 25
10.0938 1455.5 27
11.3281 1461.0 28
12.5469 1509.5 31
13.8281 1514.8 31
15.0469 1525.8 28
16.3125 1533.0 29
17.5781 1541.3 30
18.7969 1552.3 31
20.0313 1562.0 30
21.2969 1574.3 31
22.6250 1525.3 25
23.8906 1451.3 23
25.2188 1383.3 26
26.5313 1324.5 24
27.7500 1270.5 24
29.1250 1221.5 25
30.3906 1173.8 28
31.6563 1135.8 32
32.9531 1094.8 29
34.2813 1059.8 33
35.5625 1029.3 33
36.8281 1054.8 17
38.1250 1029.8 17
39.4063 1002.0 18
41.8906 956.0 13
43.1719 967.8 9
44.3750 983.0 9
45.5938 998.5 9
49.3281 1057.3 29
50.5625 1089.3 14
51.7344 1106.8 26
52.9688 1138.8 31
60.3125 1357.5 23
62.7188 1452.8 22
63.9531 1517.5 22
65.2344 1578.5 23
66.4219 1673.8 27
67.7031 1668.0 27
68.9688 1650.8 28
70.2813 1634.3 24
71.5313 1619.0 24
72.7813 1609.8 24
74.0469 1570.3 25
75.2813 1586.3 30
76.5781 1577.3 31
77.7813 1573.3 31
79.0781 1566.0 29
80.3281 1526.3 28
81.5938 1519.0 29
82.8906 1514.3 31
84.1719 1510.3 30
85.3750 1512.0 30
86.6406 1506.0 29
87.8750 1509.3 31
89.1719 1504.0 30
90.4531 1509.5 29
91.7500 1505.3 30
92.9844 1511.0 30
94.2031 1511.0 29
95.5000 1514.0 31
96.7188 1518.8 29
97.9844 1525.8 28
99.2500 1530.3 28
100.4688 1534.8 27
101.7344 1537.8 26
103.0000 1548.8 29
104.2969 1556.5 29
105.5313 1564.0 28
106.7656 1577.5 29
108.0156 1580.3 28
109.3125 1596.8 27
110.5625 1611.3 23
111.7969 1627.3 24
113.0625 1647.8 23
114.2813 1660.3 27
115.5313 1678.5 27
116.7656 1696.3 23
118.0469 1716.8 24
119.2656 1734.8 28
120.5625 1756.8 27
121.7813 1779.3 20
123.0156 1808.5 20
124.2969 1833.0 20
125.5000 1863.0 16
141.6719 363.0 11
142.5156 369.0 10
143.6875 369.8 9
146.3750 386.5 9
151.9063 457.0 12
153.2969 461.0 10
159.7344 1766.8 24
162.2969 1532.5 11
163.5469 1553.0 11
164.7969 1553.5 10
166.0156 1553.8 9
170.9844 1770.0 28
172.2500 1761.0 29
173.5469 1569.5 19
174.8750 1561.8 25
176.1094 1569.3 28
177.3594 1582.8 28
178.5000 1747.5 28
181.2813 1371.0 14
182.5469 1365.8 15
183.7656 1361.8 21
185.0781 1365.3 26
186.3125 1365.5 17
188.8125 1380.5 10
193.7813 1366.8 13
195.1406 1324.5 11
196.3125 1398.5 9
198.6094 1809.5 20
199.8281 1830.3 17
201.0000 1983.8 25
202.2656 2002.3 24
203.5000 2015.8 25
204.7813 2036.8 24
206.0156 2050.8 22
207.2500 2066.5 17
208.5000 2091.8 26
209.7500 2108.8 24
211.0469 2124.8 23
212.2656 2158.3 21
213.5313 2174.0 19
214.7500 2193.5 20
216.0000 2211.5 17
217.2656 2250.5 17
218.5000 2284.5 18
219.7656 2265.3 17
221.0313 2233.5 17
222.2813 2264.3 16
223.5313 2350.0 22
224.7813 2356.8 22
226.0000 2395.5 24
227.2344 2443.0 24
228.5156 2495.5 21
229.7500 2560.3 21
231.0000 2649.3 24
232.2344 2700.8 18
233.6094 2699.5 16
234.8750 2732.3 17
236.1406 2725.0 21
237.4219 2695.5 23
238.7031 2654.5 25
239.9688 2619.8 24
241.2188 2584.0 24
242.4844 2559.8 23
243.7813 2539.3 22
245.0313 2516.8 22
246.3125 2495.3 22
247.5781 2486.3 26
248.8438 2467.3 28
250.0938 2453.0 22
251.5313 1945.0 21
252.7500 1932.8 21
254.0313 1928.5 22
255.3125 1917.3 27
256.5938 1903.0 28
257.8594 1902.3 28
259.2188 1667.5 13
260.5000 1675.8 13
261.7031 1685.5 12
263.0156 1702.3 13
264.2188 1713.0 12
265.5000 1731.8 14
266.7188 1758.0 15
267.9844 1844.3 22
269.2031 1843.8 22
270.4844 1843.5 22
271.7500 1845.0 22
273.0313 1845.8 22
274.2656 1847.5 22
275.5625 1854.3 23
276.7813 1862.0 21
278.0313 1866.8 20
279.3281 1874.3 20
280.5938 1882.8 21
281.7656 1887.0 28
283.0156 1902.3 28
