#RPLIDAR SCAN DATA
#COUNT=286
#Angule	Distance	Quality
359.6094 1322.3 31
0.8438 1326.0 30
2.0625 1325.5 32
3.2813 1326.3 32
4.5625 1329.8 31
5.8438 1331.3 31
7.0469 1333.5 31
8.3438 1337.8 29
9.5469 1342.8 31
10.7813 1345.0 29
12.0313 1351.3 30
13.2813 1359.3 31
14.5625 1369.0 33
15.7656 1372.8 31
17.0156 1382.5 32
18.2344 1392.8 32
19.4844 1400.3 29
20.7031 1413.0 28
21.9844 1410.8 30
23.1719 1418.0 26
24.4219 1406.8 26
25.7344 1337.0 25
27.0469 1273.8 25
28.3281 1216.3 25
29.6406 1162.0 22
30.9219 1113.3 26
32.1875 1069.0 28
33.4844 1029.0 30
34.8438 991.0 26
36.1875 959.0 27
37.4219 926.3 26
38.6563 898.3 34
40.0469 871.3 31
41.2813 845.5 38
42.5313 823.0 34
43.8594 801.0 33
45.2500 780.5 33
46.5156 762.5 38
47.7344 746.0 34
49.1094 729.0 37
50.2969 713.3 36
51.6875 698.8 33
52.9688 684.8 40
54.2813 672.5 39
55.5156 661.3 37
56.7500 649.3 40
58.1094 639.3 34
59.3906 629.0 38
60.5469 620.3 39
61.8906 611.3 32
63.0469 603.8 40
64.4375 596.3 38
65.6250 589.8 42
67.0469 582.8 34
68.3125 578.5 39
69.4219 573.5 39
70.9063 567.5 43
72.0469 563.3 35
73.2188 558.8 36
74.5000 556.0 38
75.8281 552.3 36
77.1875 548.3 38
78.2969 546.0 40
79.5156 543.5 37
80.7813 540.3 36
82.0625 538.5 36
83.3750 536.3 37
84.5000 534.5 38
85.9688 532.3 40
87.0313 532.3 35
88.5313 532.0 35
89.5313 530.5 35
90.8125 530.5 32
92.2500 530.3 34
93.3750 531.0 42
94.5313 531.5 36
96.0313 531.3 43
97.1250 532.8 39
98.3281 534.0 39
99.7813 535.5 37
100.9219 536.5 35
102.0625 539.0 36
103.4531 541.0 35
104.5156 543.5 33
105.9063 546.8 37
107.1406 549.0 36
108.2813 552.5 34
109.4063 556.3 39
110.6563 561.3 37
111.8750 564.3 39
113.1406 568.0 38
114.5469 572.5 39
115.7813 578.3 38
117.0781 582.8 33
118.1094 588.8 39
119.3594 594.3 40
120.5469 602.3 40
121.9688 608.3 37
123.0313 616.8 35
124.3438 625.3 40
125.4688 634.8 34
126.6875 644.5 40
127.9219 654.3 35
129.2344 664.8 37
130.3438 675.3 32
131.6719 687.8 38
132.7656 701.3 38
134.0625 714.0 31
135.2031 729.8 35
136.4063 745.3 32
137.6875 760.8 33
138.8750 778.8 30
140.1563 796.8 30
141.3594 816.8 29
142.6094 841.3 37
143.7031 863.8 32
144.9844 886.5 31
146.1250 912.8 35
147.3906 943.0 31
148.5469 971.8 30
149.7656 1003.3 31
151.0156 1033.0 31
152.2031 1069.8 28
153.4531 1109.5 25
154.6094 1152.8 25
155.8750 1199.0 21
157.0313 1249.8 26
158.3281 1303.8 29
159.4844 1362.0 26
160.7031 1437.0 24
161.8750 1511.8 25
163.0469 1602.5 21
164.2500 1712.8 24
165.4219 1831.5 21
166.6406 1991.8 21
167.8125 2173.0 20
169.0469 2371.8 19
170.2188 2599.5 18
171.4063 2879.3 14
172.6406 3227.0 14
173.7656 4619.5 9
175.0000 4546.8 16
176.2500 4983.8 9
177.4688 5220.0 13
178.7344 5223.8 14
179.9844 5223.8 14
181.2344 5227.5 15
182.4844 5218.8 14
183.7344 5225.0 14
184.8906 5223.8 12
186.1406 5218.8 12
187.3906 5136.3 12
188.6875 4130.0 13
189.9375 4085.8 14
191.3281 2951.8 13
192.6250 2597.5 18
193.9531 2336.5 15
195.2344 2111.8 23
196.5469 1929.3 18
197.8906 1770.0 24
199.1719 1643.3 21
200.5313 1492.3 21
201.7813 1491.5 26
203.0156 1490.8 28
204.2656 1508.8 29
205.5156 1528.3 28
206.7656 1497.5 30
207.9844 1504.3 30
209.3594 1511.5 30
210.6250 1518.8 29
211.8594 1526.3 29
213.1094 1537.3 27
214.3594 1542.5 30
215.6094 1555.8 30
216.8906 1566.8 29
218.0938 1578.5 30
219.3750 1593.8 29
221.6250 728.8 15
222.9688 699.0 18
224.3438 691.8 23
225.4219 694.0 31
226.7656 676.8 30
228.0313 661.8 32
229.3906 647.5 40
230.7656 634.3 35
232.0938 619.5 36
233.3750 607.8 33
234.7656 597.8 36
235.8281 587.8 40
237.1094 578.3 37
238.5938 570.0 38
239.8281 562.0 35
241.0156 554.5 31
242.4375 547.3 37
243.6406 540.8 33
244.8906 534.3 38
246.3750 527.8 36
247.3906 522.3 30
248.9219 517.8 35
250.0938 512.3 36
251.3438 508.8 37
252.5938 505.3 38
253.8750 501.5 36
255.3281 498.0 40
256.5469 494.0 34
257.6406 491.8 41
259.0938 488.5 31
260.0469 486.8 35
261.5156 484.0 34
262.5781 482.8 33
263.9063 480.3 39
265.1563 479.5 32
266.6563 477.8 35
267.6719 476.5 36
268.9375 476.0 34
270.2188 475.8 37
271.6094 476.0 38
272.8750 475.3 37
274.1719 475.8 35
275.3281 476.0 35
276.4063 477.3 34
277.6563 478.0 36
278.9844 479.0 33
280.2656 479.8 38
281.4375 482.0 37
282.7188 483.5 31
284.0469 485.3 33
285.3125 487.8 31
286.3594 490.3 36
287.5625 492.5 33
288.7813 494.8 38
290.0156 499.0 35
291.2656 502.8 32
292.6094 506.0 33
293.9531 510.5 36
295.0938 514.5 33
296.1875 519.3 31
297.5625 524.3 34
298.7813 529.5 33
299.9688 535.3 32
301.1563 541.0 33
302.4375 548.0 36
303.6719 555.0 30
304.8281 562.0 35
305.9844 568.8 34
307.1250 578.0 34
308.5469 585.3 34
309.7031 594.8 33
310.7656 605.0 35
312.0313 615.5 34
313.3438 626.5 34
314.5000 639.5 29
316.7500 1919.5 27
317.9844 1877.3 19
319.2344 1841.8 21
320.5313 1804.0 20
321.8281 1761.3 29
323.0313 1738.3 30
324.2813 1707.3 23
325.5313 1680.3 27
326.8281 1652.5 28
328.0625 1626.0 23
329.4531 1600.0 28
330.6719 1577.3 30
